2048	1024	0	1851	1023	102
2303	1024	0	2057	1034	106
2559	1024	0	2264	1045	110
2815	1024	0	2470	1056	114
3071	1024	0	2677	1067	118
3327	1024	0	2884	1078	122
3583	1024	0	3091	1089	126
3839	1024	0	3297	1100	130
4095	1024	0	3504	1111	134
0	1280	0	246	1169	86
256	1280	0	453	1180	91
512	1280	0	660	1191	95
768	1280	0	867	1202	99
1024	1280	0	1073	1213	103
1280	1280	0	1280	1224	107
1536	1280	0	1487	1235	111
1792	1280	0	1693	1246	115
2048	1280	0	1900	1257	119
2303	1280	0	2106	1268	123
2559	1280	0	2313	1279	127
2815	1280	0	2520	1290	131
3071	1280	0	2726	1301	135
3327	1280	0	2933	1312	139
3583	1280	0	3140	1322	143
3839	1280	0	3347	1333	148
4095	1280	0	3553	1344	152
0	1536	0	296	1402	104
256	1536	0	502	1413	108
512	1536	0	709	1424	112
768	1536	0	916	1435	116
1024	1536	0	1123	1446	120
1280	1536	0	1329	1457	124
1536	1536	0	1536	1468	128
1792	1536	0	1743	1479	132
2048	1536	0	1949	1490	136
2303	1536	0	2155	1501	140
2559	1536	0	2362	1512	144
2815	1536	0	2569	1523	149
3071	1536	0	2776	1534	153
3327	1536	0	2982	1545	157
3583	1536	0	3189	1556	161
3839	1536	0	3396	1567	165
4095	1536	0	3603	1578	169
0	1792	0	345	1636	121
256	1792	0	552	1647	125
512	1792	0	758	1658	129
768	1792	0	965	1669	133
1024	1792	0	1172	1680	137
1280	1792	0	1379	1691	141
1536	1792	0	1585	1702	145
1792	1792	0	1792	1713	150
2048	1792	0	1999	1724	154
2303	1792	0	2205	1735	158
2559	1792	0	2411	1746	162
2815	1792	0	2618	1757	166
3071	1792	0	2825	1768	170
3327	1792	0	3032	1779	174
3583	1792	0	3238	1790	178
3839	1792	0	3445	1801	182
4095	1792	0	3652	1812	186
0	2048	0	394	1870	138
256	2048	0	601	1881	142
512	2048	0	808	1892	146
768	2048	0	1014	1903	151
1024	2048	0	1221	1914	155
1280	2048	0	1428	1925	159
1536	2048	0	1635	1936	163
1792	2048	0	1841	1947	167
2048	2048	0	2048	1958	171
2303	2048	0	2254	1969	175
2559	2048	0	2461	1980	179
2815	2048	0	2667	1991	183
3071	2048	0	2874	2002	187
3327	2048	0	3081	2013	191
3583	2048	0	3288	2024	195
3839	2048	0	3494	2035	199
4095	2048	0	3701	2046	203
0	2303	0	443	2103	156
256	2303	0	650	2114	160
512	2303	0	857	2125	164
768	2303	0	1063	2136	168
1024	2303	0	1270	2147	172
1280	2303	0	1477	2158	176
1536	2303	0	1684	2169	180
1792	2303	0	1890	2180	184
2048	2303	0	2097	2191	188
2303	2303	0	2303	2202	192
2559	2303	0	2510	2213	196
2815	2303	0	2716	2224	200
3071	2303	0	2923	2235	204
3327	2303	0	3130	2246	208
3583	2303	0	3337	2257	213
3839	2303	0	3543	2268	217
4095	2303	0	3750	2279	221
0	2559	0	492	2336	173
256	2559	0	699	2347	177
512	2559	0	906	2358	181
768	2559	0	1113	2369	185
1024	2559	0	1319	2380	189
1280	2559	0	1526	2391	193
1536	2559	0	1733	2402	197
1792	2559	0	1940	2413	201
2048	2559	0	2146	2424	205
2303	2559	0	2352	2435	209
2559	2559	0	2559	2446	214
2815	2559	0	2766	2457	218
3071	2559	0	2972	2468	222
3327	2559	0	3179	2479	226
3583	2559	0	3386	2490	230
3839	2559	0	3593	2501	234
4095	2559	0	3799	2512	238
0	2815	0	542	2570	190
256	2815	0	748	2581	194
512	2815	0	955	2592	198
768	2815	0	1162	2603	202
1024	2815	0	1369	2614	206
1280	2815	0	1575	2625	211
1536	2815	0	1782	2636	215
1792	2815	0	1989	2647	219
2048	2815	0	2196	2658	223
2303	2815	0	2402	2669	227
2559	2815	0	2608	2680	231
2815	2815	0	2815	2691	235
3071	2815	0	3022	2702	239
3327	2815	0	3228	2713	243
3583	2815	0	3435	2724	247
3839	2815	0	3642	2735	251
4095	2815	0	3849	2746	255
0	3071	0	591	2804	207
256	3071	0	798	2815	212
512	3071	0	1004	2826	216
768	3071	0	1211	2837	220
1024	3071	0	1418	2848	224
1280	3071	0	1625	2859	228
1536	3071	0	1831	2870	232
1792	3071	0	2038	2881	236
2048	3071	0	2245	2892	240
2303	3071	0	2451	2903	244
2559	3071	0	2658	2914	248
2815	3071	0	2864	2925	252
3071	3071	0	3071	2936	256
3327	3071	0	3278	2947	260
3583	3071	0	3484	2958	264
3839	3071	0	3691	2969	269
4095	3071	0	3898	2980	273
0	3327	0	640	3038	225
256	3327	0	847	3049	229
512	3327	0	1054	3060	233
768	3327	0	1260	3071	237
1024	3327	0	1467	3082	241
1280	3327	0	1674	3093	245
1536	3327	0	1881	3104	249
1792	3327	0	2087	3115	253
2048	3327	0	2294	3126	257
2303	3327	0	2500	3137	261
2559	3327	0	2707	3148	265
2815	3327	0	2914	3159	270
